Time[s],X[m],Y[m],Yaw[deg],Curvature
0.0,-5.428571428571416,9.264069264069256,70.17271721751979,-2.3778950366964072e-05
0.05,-5.368064432757269,9.43190815824349,70.17271721751979,-2.3778950366964072e-05
0.1,-5.307545739970913,9.599729464205515,70.16454175200174,-4.7567960255674564e-05
0.15000000000000002,-5.24700365324014,9.767515593743122,70.15091213333974,-7.137709335276503e-05
0.2,-5.186426475592739,9.935248958644102,70.13182259566209,-9.521642170002366e-05
0.25,-5.125802510056505,10.102911970696246,70.1072650634054,-0.00011909602980154932
0.30000000000000004,-5.065120059659227,10.270487041687346,70.0772291479888,-0.00014302601871253186
0.35000000000000003,-5.004367427428696,10.437956583405194,70.04170214356256,-0.0001670165100245004
0.4,-4.943532916392704,10.605303007637579,70.0006690218484,-0.00019107764980190017
0.45,-4.8826048295790425,10.772508726172292,69.95411242609346,-0.00021521961237903642
0.5,-4.821571470015503,10.939556150797127,69.90201266416652,-0.00023945260404394547
0.55,-4.760421140729875,11.106427693299871,69.84434770082902,-0.0002637868665518619
0.6000000000000001,-4.699142144749951,11.273105765468319,69.78109314921493,-0.00028823268051326984
0.65,-4.637722785103523,11.43957277909026,69.71222226156213,-0.000312800368531701
0.7000000000000001,-4.576151364818381,11.605811145953487,69.63770591924585,-0.00033750029815507964
0.75,-4.5144161869223165,11.771803277845788,69.55751262216404,-0.00036234288457218626
0.8,-4.452505554443121,11.937531586554956,69.47160847753462,-0.0003873385930462435
0.8500000000000001,-4.390407770408586,12.102978483868782,69.37995718817196,-0.0004124979410194575
0.9,-4.328111137846503,12.268126381575057,69.28252004031701,-0.00043783149989853616
0.9500000000000001,-4.265603959784663,12.432957691461572,69.17925589109834,-0.0004633498964835612
1.0,-4.202874539250856,12.597454825316118,69.07012115571735,-0.0004890638139407112
1.05,-4.139911179272874,12.761600194926487,68.95506979445318,-0.0005149839923954248
1.1,-4.076702182878511,12.92537621208047,68.83405329959265,-0.000541121228986497
1.1500000000000001,-4.013235853095553,13.088765288565858,68.70702068240911,-0.0005674863773779125
1.2000000000000002,-3.9495004929517963,13.25174983617044,68.57391846031074,-0.0005940903467573275
1.25,-3.885484405475029,13.41431226668201,68.43469064430101,-0.0006209441001091994
1.3,-3.8211758936930433,13.576434991888359,68.28927872690588,-0.0006480586518551206
1.35,-3.756563260633631,13.738100423577277,68.13762167072754,-0.0006754450647340658
1.4000000000000001,-3.691634809324583,13.899290973536555,67.97965589780912,-0.000703114445840092
1.4500000000000002,-3.6263788427936907,14.059989053553984,67.81531528000214,-0.0007310779418169278
1.5,-3.5607836640687447,14.220177075417356,67.64453113054839,-0.0007593467330550903
1.55,-3.4948375761775363,14.379837450914462,67.46723219710476,-0.0007879320268891554
1.6,-3.428528882147858,14.538952591833091,67.2833446564566,-0.0008168450496500549
1.6500000000000001,-3.3618458850075,14.697504909961037,67.09279211118762,-0.0008460970375247387
1.7000000000000002,-3.2947768877842534,14.855476817086089,66.89549558859267,-0.0008756992261068297
1.75,-3.2273101935059105,15.012850724996042,66.69137354214108,-0.0009056628385709863
1.8,-3.159434105200262,15.169609045478682,66.48034185582783,-0.0009359990722796423
1.85,-3.091136925895099,15.325734190321803,66.26231385176641,-0.0009667190838682829
1.9000000000000001,-3.022406958618212,15.481208571313195,66.03720030140904,-0.000997833972484519
1.9500000000000002,-2.953232506397394,15.63601460024065,65.80490944080645,-0.0010293547612771417
2.0,-2.883601872260435,15.790134688891959,65.56534699034705,-0.0010612923767937942
2.0500000000000003,-2.8135033592351273,15.943551249054913,65.31841617944914,-0.0010936576263366798
2.1,-2.7429252703492617,16.0962466925173,65.06401777670742,-0.0011264611729867177
2.15,-2.671855908630629,16.24820343106692,64.80205012603103,-0.0011597135082649257
2.2,-2.600283577107021,16.399403876491554,64.53240918934478,-0.0011934249221743996
2.25,-2.528196578806228,16.549830440578997,64.25498859646207,-0.001227605470542497
2.3000000000000003,-2.4555832167560427,16.699465535117042,63.96967970276944,-0.00126226493948561
2.35,-2.382431793984255,16.84829157189348,63.67637165540805,-0.0012974128067641123
2.4000000000000004,-2.3087306135186583,16.996290962696097,63.37495146867294,-0.001333058199959109
2.45,-2.234467978387041,17.143446119312692,63.06530410938547,-0.0013692098512357973
2.5,-2.1596321916171966,17.28973945353105,62.74731259304325,-0.0014058760484981917
2.5500000000000003,-2.0842115562369155,17.435153377138967,62.42085809157985,-0.0014430645828932235
2.6,-2.0081943752739884,17.579670301924228,62.08582005361849,-0.001480782692247109
2.6500000000000004,-1.931568951756208,17.723272639674626,61.742076338131135,-0.00151903700061937
2.7,-1.854323588711364,17.865942802177955,61.389503362452125,-0.0015578334534549327
2.75,-1.7764465891672492,18.00766320122201,61.02797626563894,-0.0015971772484813563
2.8000000000000003,-1.697926256151654,18.148416248594568,60.65736908819897,-0.0016370727619691098
2.85,-1.6187508926923693,18.288184356083434,60.2775549692234,-0.00167752347054882
2.9000000000000004,-1.538908801817188,18.426949935476387,59.88840636200512,-0.0017185318680755823
2.95,-1.4583882865538995,18.564695398561234,59.48979526922863,-0.0017600993779589187
3.0,-1.377177649930296,18.701403157125753,59.08159349883761,-0.0018022262603810207
3.0500000000000003,-1.2952651949741671,18.83705562295774,58.66367294168883,-0.001844911514960988
3.1,-1.2126392247133069,18.971635207844987,58.23590587208801,-0.001888152778416575
3.1500000000000004,-1.1292880421755047,19.105124323575282,57.79816527230946,-0.001931946217625493
3.2,-1.045199950388553,19.237505381936415,57.35032518215624,-0.001976286418071248
